dlMaxRetxThreshold,dlPollByte,dlPollPDU,dlTPollRetr,dlTProhib,dlTReassembly,ulMaxRetxThreshold,ulPollByte,ulPollPDU,ulTPollRetr,ulTProhib,ulTReassembly,id
t32,kB6000,p4096,ms500,ms150,ms170,t32,mB30,p32768,ms2000,ms60,ms5,19bda5154d42f659d7ad5e8942114af40f5248d3f092fd142d402d4e176fd8ed
t2,kB8,p8192,ms200,ms300,ms60,t3,mB30,p8192,ms800,ms80,ms5,fac95b4c25fbb54bf583598ef3fa225c4cffa3a43fe15a8870cfe3f187d5f92c
t3,kB6000,p40960,ms2000,ms200,ms10,t16,mB30,p32,ms1000,ms2000,ms200,a7581debf60515b873aa3172e2983e4618451cfac1f98eb5845fc1489d9e0569
t8,mB8,p8192,ms2000,ms800,ms10,t4,mB25,p49152,ms50,ms500,ms20,16692452cc32bed0043aa7c8b23fc700cd44538f61c5016714b7d314a40b9d4c
t32,kB1000,p32,ms500,ms200,ms40,t32,mB20,p16,ms800,ms800,ms140,50170770ab51f0a796eb1bc68747a0d148dcc0f106188ca89df1768052a0368d
t32,kB1000,p57344,ms100,ms2000,ms80,t16,mB8,p128,ms800,ms300,ms60,96c6cd2d74ec67e5f11fa97491ce0b3430db9d10e99a081901b14eb4b3c9b1b5
t32,kB500,p65536,ms4000,ms100,ms140,t8,mB40,p8192,ms4000,ms800,ms100,5441bd168031656da50e467f378033caed5a759b8bf7767182cb2038784dd85e
t32,kB500,p65536,ms350,ms800,ms200,t32,kB100,p32768,ms150,ms60,ms100,5abbbb7cbfde8a58c5dd65bfa8a32ec059c35ee70f830317d02a61fedf64c755
t3,mB8,p57344,ms150,ms40,ms5,t8,mB40,p32768,ms250,ms80,ms5,3bae9b82bfcd199fb6a6987d3d9e455dc8e86a6a871bafd6929f5ba8275c611b
t32,kB500,p8192,ms200,ms300,ms20,t8,kB6000,p32,ms800,ms300,ms160,695829eee73fdfa53eb9622d39cfdd63d69bcc13842de178267accc81b24dcfd
t32,mB16,p4096,ms800,ms150,ms10,t2,kB6000,p40960,ms2000,ms2000,ms80,d61e9fed9224d0f3a202cba01b0f3c4e2d4d9298f140beeaea992ecc620c0d23
t3,kB6000,p16384,ms150,ms800,ms200,t2,mB40,p512,ms150,ms100,ms80,176d9ab0a060c04a9dedcaea2cbc0da32ae89c75325cb75a59db8c8de044081e
t16,kB6000,p8192,ms300,ms20,ms5,t4,kB25,p8192,ms100,ms60,ms160,b1bd5c2cf5af0728c00c9f732af210779fee657c937337874c75574f47c49a8c
t4,mB8,p8192,ms50,ms200,ms100,t4,kB1000,p512,ms800,ms40,ms200,2d33e1f29d4b530a6c353b89ebcbaf83a7234b7f4d6adc65f3e631af7f2966dd
t8,kB100,p512,ms2000,ms150,ms100,t16,mB30,p32768,ms350,ms2400,ms120,6bdb04df2cf9a172190f6eabc82fb23f80180512979d42ddcd13ed9f1fae7666
t8,mB20,p40960,ms1000,ms2400,ms40,t32,mB30,p57344,ms800,ms40,ms100,80aac0747404640cadb4376f0773d3b91b7d5a199558ab8b6ed3348da64f691b
t8,mB25,p32768,ms250,ms20,ms40,t32,kB25,p57344,ms800,ms150,ms160,5357b80a4849dfd0dbdf103245e8ebef70b783f377d7f5e2492debda2465cd8f
t8,mB25,p16384,ms350,ms60,ms5,t32,mB16,p32,ms250,ms1200,ms200,0057b20376f233ac3c74caa4ef1936048375fa334326f62aecd80047e2dd2681
