dlMaxRetxThreshold,dlPollByte,dlPollPDU,dlTPollRetr,dlTProhib,dlTReassembly,ulMaxRetxThreshold,ulPollByte,ulPollPDU,ulTPollRetr,ulTProhib,ulTReassembly,id
t2,mB25,p64,ms40,ms170,ms110,t6,kB25,p28672,ms100,ms800,ms90,1ab755a0753bab1eb94a8f7376639e1e52bf9207777f48e96a878e5799e2c296
t3,mB18,p1024,ms800,ms500,ms30,t6,mB8,p2048,ms210,ms100,ms200,ace559ae2738f5604ef7429991e0e44f3165331133bc8771a3d88bc05bde78ee
t4,mB30,p16,ms2000,ms110,ms5,t4,mB13,p16,ms450,ms80,ms5,825cbaf0f88b12c675e4801e483da851d9b1de5bb8ad0ecfb18af48a2aba8b0e
t2,mB30,p40960,ms80,ms1000,ms15,t8,mB8,p49152,ms60,ms30,ms85,ed898f647de6f2887479d4e9674d56d09e6211578585a5060d75052f29bdf293
t16,kB750,p8,ms10,ms250,ms150,t3,kB50,p24576,ms4000,ms450,ms45,e77fc519d7c662a8abf3732173edfa69ce4d4e77409b76b83ce6bd7c930d4151
t32,kB2000,p16,ms800,ms450,ms100,t3,kB1500,p49152,ms4000,ms180,ms30,0dc1ec8fe018a12d30438ebcb7f276d1a75ddddb8918301cd6ae62aafdc7013b
t6,kB125,p32,ms150,ms500,ms30,t2,kB75,p256,ms200,ms110,ms100,05020dbf298d8e7d7e6bfd58e56d46585e35d6e45145ff64b7a3a99e98f0726e
t16,mB16,p32,ms210,ms130,ms30,t4,kB50,p57344,ms350,ms2000,ms90,64a542a42b45f1172fe5aa6a4b429715f1590bec14fc21cf979db2d6377ad2ef
t6,kB6000,p40960,ms10,ms110,ms140,t8,kB3000,p128,ms500,ms160,ms100,2c525f185030a206d9ce3551346808af4360f4f5c275779881df4660fce23664
t6,mB25,p2048,ms30,ms50,ms130,t8,kB100,p512,ms40,ms150,ms140,0320892421723e55de9a7b52d250b98b781a4ec211d4439704a7ab805c247c38
t16,mB25,p40960,ms190,ms160,ms200,t16,kB3000,p12288,ms170,ms2400,ms55,9fe35507480c4a8de5eebaeae0dcc9b5d3046641c91557b5660e8e7494c57507
