dlMaxRetxThreshold,dlPollByte,dlPollPDU,dlTPollRetr,dlTProhib,dlTReassembly,ulMaxRetxThreshold,ulPollByte,ulPollPDU,ulTPollRetr,ulTProhib,ulTReassembly,id
t32,kB2,p128,ms190,ms500,ms190,t4,mB17,p8192,ms10,ms80,ms80,3945cc12bec6148175da6cd6abc1f289797fc6f6ccd65facdc41e32bc0aa4c47
t16,kB750,p12288,ms10,ms1200,ms45,t3,mB12,p2048,ms300,ms100,ms150,f04bcc2d2fc7f155d8b20700cc285105ac18a6e432bc91aac4b84441439425be
t6,kB2000,p1024,ms400,ms30,ms40,t6,kB250,p16,ms500,ms170,ms10,1c7e6d50952ed7aa1792e1adb7f555eae08781b7b722655110574cac281c86d0
t6,kB125,p8,ms180,ms1000,ms80,t32,kB750,p65536,ms60,ms350,ms85,a081c279a38d180be7fa3c2158847cfb9da4fbd8cd58b8214dd69d3906e6f855
t32,mB12,p28672,ms70,ms60,ms45,t32,kB50,p24576,ms4000,ms250,ms85,d77f5e8fa00b81727315f3208cf8fc423e48526e7d3eadf2e73a9746081d066b
t2,kB125,p57344,ms40,ms60,ms90,t2,kB15,p32,ms110,ms100,ms50,ced6bb363680c778a27b4f29faba9892ab27b26f3dbebe11599c6f993b250d48
t4,kB5000,p2048,ms250,ms20,ms30,t6,kB10,p24576,ms30,ms1200,ms25,6e262b7c9ba8d57e5ebc8233108f102721a55a1e3ec23af6b542d89f51c63982
t4,kB2,p20480,ms2000,ms400,ms20,t4,kB7500,p24576,ms250,ms170,ms130,e6a94807b4961db0113daa4981e215ef637d2d4be88c3ef539d84c37a1f0943c
t16,mB20,p57344,ms50,ms1200,ms90,t32,kB75,p4096,ms40,ms2400,ms55,be11abfe8509bd8c0f4dfabd1cc97869cf31e7d17811a622aa8f7acdf4a6b754
t4,kB4000,p24576,ms230,ms10,ms85,t6,mB15,p128,ms500,ms350,ms190,538eb61384cc8911b0d3cf76b5be608ab2e6449cc3916d46670bc1820a8db95b
t2,mB13,p4096,ms170,ms150,ms95,t4,kB15,p1024,ms1000,ms1000,ms180,c467be2a421adcec5c2bcf0e868cd321e468d856386d2fad6ec43dc1ab18aa93
