dlMaxRetxThreshold,dlPollByte,dlPollPDU,dlTPollRetr,dlTProhib,dlTReassembly,ulMaxRetxThreshold,ulPollByte,ulPollPDU,ulTPollRetr,ulTProhib,ulTReassembly,id
t8,kB1000,p32768,ms4000,ms200,ms180,t6,kB100,p65536,ms250,ms40,ms160,a1af85bcb1a01282c58c792a4f80be6ca1f48e72c7404a6bfd5c09c8efb03bdf
t2,kB6000,p4096,ms1000,ms100,ms40,t32,mB40,p16,ms400,ms80,ms160,125c41886a042f4a3bf23f717864bb8e36edf84129625a0967a45ebd6e21cb58
t6,kB500,p512,ms2000,ms100,ms160,t8,kB6000,p65536,ms50,ms300,ms180,0e4da91b1c5fff60c0dc2a291ff6cf36af36cb2236dd54cea5a33a2484f36de3
t6,mB20,p32768,ms250,ms500,ms160,t8,mB8,p49152,ms100,ms1200,ms140,e0af4d7afff8db6e3a535550b928e84f7536c783f1df48feae4d02d5a84cf03b
t32,kB6000,p65536,ms200,ms60,ms80,t6,mB16,p512,ms500,ms2400,ms10,7b0bc636be445201c87c3359a762a99b4d7ff4786fb816b5ff0059ecacb01239
t6,mB8,p49152,ms1000,ms20,ms5,t16,mB25,p4096,ms400,ms80,ms5,ab1eb77b6fd40a92286b8f616cdd270e19fe38a95cf1c4b77b9df65394a6b9e1
t8,mB30,p8192,ms300,ms500,ms5,t16,mB40,p8192,ms100,ms100,ms140,c9f8ee53e670b385cddf2b8011e08b48212909136009ba5ac829af018a2c45b9
t8,mB20,p57344,ms300,ms500,ms60,t2,mB25,p4096,ms1000,ms500,ms170,dfa464ffeda3465310e8ab672e327070a27ee08f11afecd180bb6032a135d1b0
t8,kB1000,p57344,ms300,ms20,ms20,t3,kB6000,p128,ms350,ms500,ms20,adf77805514ac2a76dccf54702cb26aaabc443fcfc69ed3eb7b5350e36fb0c92
t4,kB8,p16,ms300,ms800,ms100,t3,mB30,p512,ms4000,ms60,ms160,35faa9209cbf8cc159cf5a20712aed58dbff6dee336767c6ba876fbc87e09ef0
t6,mB16,p512,ms2000,ms1200,ms5,t4,kB6000,p4096,ms2000,ms1200,ms20,2528e062aff82f77786b15ec9adb572cef0d4f9b6d4ccd3c919cad37bf0a2a36
