dlMaxRetxThreshold,dlPollByte,dlPollPDU,dlTPollRetr,dlTProhib,dlTReassembly,ulMaxRetxThreshold,ulPollByte,ulPollPDU,ulTPollRetr,ulTProhib,ulTReassembly,id
t3,mB25,p49152,ms100,ms150,ms200,t2,mB20,p32768,ms200,ms800,ms180,cd0abc3ea625fc17a21495a3dd01f18db7c8c9466c93f6150845af8fb0b36a3a
t2,mB30,p16384,ms500,ms500,ms40,t3,mB40,p16384,ms400,ms800,ms20,a99325ce3ad2e65960c7ffb68e7c12d2cd05c9532b984ac31bb3302123982c1b
t2,kB1000,p16384,ms250,ms1200,ms120,t8,mB30,p40960,ms2000,ms800,ms200,1dffb0fc7be4fa768c81ec2bc69d7ff41e204d1b0bc642098901670552268b00
t2,kB1000,p16,ms2000,ms300,ms200,t2,mB16,p128,ms2000,ms80,ms20,f1580fcd16d6e99e68a9d77146e0498702533973438fb6d1f07ff5800b3f7d0e
t2,mB20,p16,ms300,ms300,ms200,t32,mB16,p512,ms350,ms300,ms20,917643f8773f8e8a46885993f005de4211eed0b55004b7aab4b8c3bac3166c27
t6,kB500,p65536,ms50,ms500,ms200,t32,kB6000,p65536,ms50,ms300,ms60,76c64476ca93fa920edb729a9a17fb89ba9956c7a0924d7dc8141a1e140b9378
t32,mB25,p16,ms200,ms1200,ms120,t4,kB1000,p65536,ms150,ms300,ms5,fa18d211a25c2593e2d988206f48da89d8efb4ebd88bd33d8dc1e5b999c37a95
t3,kB100,p16,ms2000,ms150,ms160,t4,kB500,p49152,ms50,ms300,ms20,09372ec2455ccf593581eee94495c648e17080fb3ffe13ff23a13d99ba1489a0
t32,kB25,p65536,ms300,ms80,ms5,t16,mB16,p65536,ms100,ms60,ms10,96dd8a2daeb683fd008bb65d044efcb12a72df6bf92a5f77476ec12e55ac0d53
t2,kB100,p32768,ms150,ms2000,ms60,t3,kB100,p4096,ms100,ms40,ms20,93da6f8e3b61a14301fae10b695b7c0e19612649491da884c92a00414921e8e2
t2,kB1000,p8192,ms100,ms800,ms40,t32,mB20,p16,ms500,ms150,ms100,e7de6a75049ede64bfd7e0146d7c8def141c047db29a0bde397c7c5173626cd9
t16,kB500,p57344,ms300,ms80,ms140,t16,kB1000,p128,ms200,ms100,ms120,d9485be9a7190c560f34b610735a82f01b1950bf5e739547bd548f1c93fde04f
t2,kB500,p65536,ms350,ms40,ms140,t3,kB1000,p16384,ms350,ms300,ms80,0b493356c8521c62d6823810e226a197f356b91e1adb9aa3e98fa7d7743626f1
