dlMaxRetxThreshold,dlPollByte,dlPollPDU,dlTPollRetr,dlTProhib,dlTReassembly,ulMaxRetxThreshold,ulPollByte,ulPollPDU,ulTPollRetr,ulTProhib,ulTReassembly,id
t4,mB40,p40960,ms50,ms80,ms40,t2,mB25,p128,ms1000,ms150,ms120,d9d7a22c37317a252b7c39f9f7691b62eb3214acf340efc74a79ecefd92717a6
t3,kB25,p57344,ms100,ms40,ms160,t4,mB25,p128,ms50,ms2400,ms80,ef259b2de7f92967e89101a23d970d9108c43ce868f56b46616fcb955e5c01a2
t4,mB20,p40960,ms100,ms200,ms180,t32,kB25,p40960,ms150,ms100,ms5,4fb6e7aab120f7479976240c3acdbd02fcbc404deccdcb99910e61a559d50e24
t6,kB1000,p4096,ms250,ms60,ms170,t16,mB30,p32768,ms800,ms100,ms20,41c75501336809edde763d447d58d609f6ff585f49585449348dde3e495f9e33
t3,kB1000,p4096,ms2000,ms2000,ms5,t8,kB1000,p57344,ms500,ms80,ms60,5c5e0249dd5849da54dd300adc9e64ee14198aed78ec9db0af8003091f8349fa
t32,kB25,p16,ms1000,ms1200,ms140,t8,mB16,p40960,ms500,ms80,ms160,decb0c579ae7f6172dfe94ad60d34fe3f57c5af0299c53868bb43f818a65ae06
t6,mB25,p16,ms400,ms20,ms40,t2,mB16,p65536,ms150,ms80,ms200,ae76ec40fadbc06aef191af514a8aef713f7dd3246b515939de5cd02ee7903bf
t8,kB8,p16,ms500,ms200,ms80,t2,kB1000,p512,ms4000,ms1200,ms20,db0d5571fb5d46f8f14c4e587b417c7849fddce2330a5170af96b9b5a5023603
t16,kB6000,p40960,ms500,ms100,ms140,t8,mB16,p32,ms1000,ms100,ms140,39a16442092782beac9497f7ff983aa4e93842e02d71c415dbce77936758c8b8
t8,kB500,p57344,ms50,ms150,ms180,t6,mB16,p49152,ms300,ms200,ms120,152df66853b7efe85c2104370348973ca4f02e9a0ae5cb7ce2f59e2bc5688518
t32,mB8,p4096,ms1000,ms150,ms200,t16,mB8,p16,ms1000,ms60,ms120,01b25b6e331c44f28e1aab2ac78d2506940811e798b70f990be6e4f8dcff134c
t3,kB500,p128,ms4000,ms300,ms40,t4,mB8,p512,ms1000,ms80,ms140,6aad01b2fd6cfc788eddfe3e2115dfe352ea129288685cca25f369522fc6f68f
t32,mB16,p512,ms350,ms200,ms60,t3,kB1000,p128,ms800,ms20,ms100,1e5e1ff378293dee54ab182b968036a4218a6c1cf42012961f70a5f8eaa624f7
t32,mB30,p32,ms2000,ms2400,ms140,t3,kB8,p49152,ms500,ms40,ms180,e3bcde969156e1c4106d29b80799d548a87c327cae182d4edad68a4d65550a28
t3,kB500,p40960,ms400,ms2400,ms20,t32,kB1000,p57344,ms400,ms300,ms80,1d938398cabb037a8083b35a7a8820f2bc2ae25a9bdbf9774031db516130c08d
t16,mB40,p8192,ms150,ms2400,ms140,t3,mB40,p512,ms4000,ms500,ms120,f6830a8a0821197405a17e270c80b9aef4a089fdf96104024bf994351b751fac
