dlMaxRetxThreshold,dlPollByte,dlPollPDU,dlTPollRetr,dlTProhib,dlTReassembly,ulMaxRetxThreshold,ulPollByte,ulPollPDU,ulTPollRetr,ulTProhib,ulTReassembly,id
t2,mB11,p16,ms70,ms200,ms10,t3,mB18,p8,ms10,ms80,ms20,56312861be1b41e823196f9b2f5712378dce850ecccc0944ae745a0f59e8ecbf
t4,kB1250,p49152,ms30,ms350,ms25,t3,kB4000,p1024,ms50,ms150,ms130,02d3f14a05d03dbcc1b915c92ef60fea4e9cfbe3fea2ca6bd37545e0181404cc
t4,mB11,p32,ms240,ms60,ms5,t4,kB500,p20480,ms150,ms500,ms190,0d6240e0000cf7c614fa2eb8984c500c29e03b28761d3d5136d62a010a6289da
t2,kB15,p16,ms150,ms160,ms25,t4,kB1500,p40960,ms30,ms800,ms190,eb69b60b078082232043e55942b80b03928fa78edda9644855b0db470cf2c792
t16,kB2,p49152,ms90,ms80,ms80,t2,mB25,p1024,ms800,ms2400,ms30,cc30835279f121558d4d732f9a431c567dfa489cac80e9d1fdc7b9600b6ea0ff
t16,mB13,p57344,ms200,ms20,ms65,t2,mB14,p8,ms800,ms140,ms30,92acd18096f92bafa24f7e1c6919426bc5d6d2874619bfbee5903c7f302d8505
t3,kB375,p40960,ms210,ms100,ms65,t6,kB4500,p24576,ms40,ms800,ms90,9fd9c6e10eeeac8c77782e7da3a75d421c52c7ce007df134af07e4d8cd6d672e
t3,mB18,p16384,ms40,ms160,ms70,t6,kB1500,p16,ms250,ms350,ms90,ea808bb5ed72252de194b70c0443801fb4831d63f91c2e1ed8e6443e50fdf3ad
t6,mB9,p6144,ms170,ms140,ms170,t6,mB14,p16,ms100,ms180,ms190,530cb80e8bf980fd413bb64a2dd828a114bb333705253fdeb5aef6a88bef1ca9
t3,kB8,p6144,ms170,ms2000,ms30,t6,kB8,p4096,ms100,ms1600,ms20,f2eb7ad9d1f52e83406bcbc8f73f6487cdc531a237994980f814c0d20c66f5ba
t3,kB8,p8192,ms100,ms190,ms130,t6,mB8,p49152,ms400,ms100,ms45,cb64dc18e76c1d75167e2df3ce2e2ec6ecb2916a28220f0800ec93ecf834e2ce
t8,mB10,p256,ms350,ms80,ms160,t6,kB10,p6144,ms250,ms100,ms45,85b25acc8fca01132c87844a9e38ac2572640ac56b1359f6e3a01a10e99b3092
t4,mB40,p4096,ms30,ms40,ms5,t32,kB5000,p20480,ms4000,ms30,ms140,bd3d1fc08f9d6f0c13d427693f354de1e13e57a4d8f95032ffd0d0ce7906622f
t6,kB50,p20480,ms170,ms150,ms110,t3,mB11,p57344,ms40,ms80,ms100,babc934701118ace4faeb70d553bea986cb9be29b9a3b8ec3bc82f43c5a9175c
t2,kB250,p32,ms150,ms50,ms15,t4,kB4000,p512,ms300,ms20,ms75,1a9b3b48f0e7f7c182c5a50c15c100de93db764e7f2a1f144b47e53942174605
t2,kB6000,p256,ms240,ms300,ms180,t32,mB18,p6144,ms20,ms140,ms45,ae47d2b53c8ba9c8917100b36597c8a0cbba8dca07a70e0a9d17b835c8ab5c5b
t4,mB18,p64,ms500,ms30,ms75,t8,mB40,p8,ms2000,ms90,ms160,183ba27487dec5f7092ad62166688ca0ca1b64233ff55d0db17f3d6dc287ea12
t4,kB6500,p8,ms200,ms60,ms200,t8,kB750,p512,ms240,ms180,ms110,6c367f01ac6995e349f3ebd45b98dbf434028f014684625824b5bb150a110e08
t8,kB5500,p16384,ms30,ms60,ms160,t6,kB2000,p20480,ms250,ms80,ms50,f1f0c2876c5ddf94e1ee7063da541f44572177303d62255fc01569228a7854e4
t8,kB1000,p8192,ms250,ms160,ms40,t6,mB15,p49152,ms150,ms120,ms50,dc36d6e14858b9c154d3059fa0a7470cef5e647553bc1102e3f238667941dbd7
t3,kB1000,p65536,ms180,ms1000,ms70,t32,kB25,p32768,ms250,ms1600,ms15,da5d92db7e0c393af7bde71bcee590414f4a2f5c33e00c6688007926caf34818
